Book_Title,Author,Length
Worthy Opponents,By: Danielle Steel,Length: 7 hrs and 33 mins
Icebreaker,By: Hannah Grace,Length: 13 hrs and 23 mins
Little Bird,By: Ria Wilde,Length: 6 hrs and 18 mins
Hell Divers X: Fallout,By: Nicholas Sansbury Smith,Length: 12 hrs and 58 mins
Standing Dead,By: Margaret Mizushima,Length: 9 hrs and 38 mins
A Hacker's Mind,By: Bruce Schneier,Length: 8 hrs and 3 mins
The Truth About Wuhan,By: Dr. Andrew G. Huff,Length: 14 hrs and 10 mins
Fifteen Hours,By: Mitchel Scanlon,Length: 7 hrs and 19 mins
Alien: Enemy of My Enemy,By: Mary SanGiovanni,Length: 8 hrs and 49 mins
This Young Master's Mother Is Mighty,By: D.C. Haenlien,Length: 14 hrs and 21 mins
The Subtle Art of Not Giving a F*ck,By: Mark Manson,Length: 5 hrs and 17 mins
The Freedom Shortcut,By: Mikkelsen Twins,Length: 4 hrs and 21 mins
It Didn't Start with You,By: Mark Wolynn,Length: 8 hrs and 16 mins
Your Weight Is Not the Problem,By: Lyndi Cohen,Length: 9 hrs and 37 mins
Confronting Saddam Hussein,By: Melvyn P. Leffler,Length: 11 hrs and 26 mins
Magitech Chronicles Omnibus,By: Chris Fox,Length: 108 hrs and 51 mins
"Mud, Blood, and Magic",By: A. D. Krabis,Length: 14 hrs and 17 mins
The Housemaid's Secret,By: Freida McFadden,Length: 9 hrs and 44 mins
The 6 Types of Working Genius,By: Patrick M. Lencioni,Length: 4 hrs and 11 mins
The Inmate,By: Freida McFadden,Length: 8 hrs and 5 mins
The Cabinet of Dr. Leng,"By: Douglas Preston, Lincoln Child",Length: 14 hrs and 24 mins
The Lost Hero,By: Rick Riordan,Length: 16 hrs and 33 mins
While Time Remains,By: Yeonmi Park,Length: 6 hrs and 28 mins
Old Babes in the Wood,By: Margaret Atwood,Length: 8 hrs and 44 mins
The Numbers,By: Nick Pirog,Length: 9 hrs and 32 mins
Forever Paired,By: Kathleen Brooks,Length: 7 hrs and 20 mins
Fast Like a Girl,By: Dr. Mindy Pelz,Length: 8 hrs and 13 mins
Heart of Sherwood,By: Edale Lane,Length: 13 hrs and 54 mins
Until You,By: K. Bromberg,Length: 8 hrs and 27 mins
Edin,By: Lily Mayne,Length: 13 hrs and 17 mins
Eat Your Way to Calm,By: Kenneth G. Moore,Length: 42 mins
A Score to Settle,"By: Matthew Costello, Neil Richards",Length: 3 hrs and 18 mins
Badges of Dorkdom: The Complete Series,By: Theo Hodges,Length: 40 hrs and 17 mins
Codependent No More,By: Melody Beattie,Length: 8 hrs and 42 mins
God of the Feast,By: Kevin Sinclair,Length: 34 hrs and 9 mins
Vicious Bonds,By: Shanora Williams,Length: 12 hrs and 24 mins
Every Man a King,By: Walter Mosley,Length: 7 hrs and 57 mins
Extreme Ownership,"By: Jocko Willink, Leif Babin",Length: 9 hrs and 33 mins
The Nightingale,By: Kristin Hannah,Length: 17 hrs and 19 mins
Born a Crime,By: Trevor Noah,Length: 8 hrs and 44 mins
The Witching Hour,By: Anne Rice,Length: 50 hrs and 1 min
Good to Great,By: Jim Collins,Length: 10 hrs and 1 min
"The 4-Hour Workweek: Escape 9-5, Live Anywhere, and Join the New Rich (Expanded and Updated)",By: Timothy Ferriss,Length: 13 hrs and 1 min
Dark Matter,By: Blake Crouch,Length: 10 hrs and 8 mins
The Simple Path to Wealth,By: JL Collins,Length: 6 hrs and 38 mins
A Short History of Nearly Everything,By: Bill Bryson,Length: 18 hrs and 13 mins
The Handmaid's Tale,By: Margaret Atwood,Length: 11 hrs and 1 min
The Obesity Code,By: Dr. Jason Fung,Length: 10 hrs and 9 mins
A Gentleman in Moscow,By: Amor Towles,Length: 17 hrs and 52 mins
Simply Lies,By: David Baldacci,Length: 11 hrs and 45 mins
The Night of the Party,By: Anna-Lou Weatherley,Length: 10 hrs and 12 mins
The Moonlight Child,By: Karen McQuestion,Length: 9 hrs and 52 mins
The Essays of Warren Buffett,"By: Lawrence A. Cunningham, Warren E. Buffett",Length: 15 hrs and 32 mins
How to Win Friends & Influence People,By: Dale Carnegie,Length: 7 hrs and 15 mins
The Night of the Party,By: Anna-Lou Weatherley,Length: 10 hrs and 12 mins
The Moonlight Child,By: Karen McQuestion,Length: 9 hrs and 52 mins
The Essays of Warren Buffett,"By: Lawrence A. Cunningham, Warren E. Buffett",Length: 15 hrs and 32 mins
How to Win Friends & Influence People,By: Dale Carnegie,Length: 7 hrs and 15 mins
Think and Grow Rich,By: Napoleon Hill,Length: 9 hrs and 35 mins
Dune,By: Frank Herbert,Length: 21 hrs and 2 mins
The Way of Kings,By: Brandon Sanderson,Length: 45 hrs and 30 mins
The Total Money Makeover,By: Dave Ramsey,Length: 3 hrs and 41 mins
We Are Legion (We Are Bob),By: Dennis E. Taylor,Length: 9 hrs and 56 mins
Ready Player One,By: Ernest Cline,Length: 15 hrs and 40 mins
The Devil in the White City,By: Erik Larson,Length: 14 hrs and 58 mins
Body of Proof,"By: Jeremiah J. Johnston, Gary Habermas - foreword",Length: 5 hrs and 10 mins
Falling Embers,By: Romeo Alexander,Length: 8 hrs and 50 mins
Fahrenheit 451,By: Ray Bradbury,Length: 5 hrs and 1 min
World War Z: The Complete Edition,By: Max Brooks,Length: 12 hrs and 9 mins
Killers of the Flower Moon,By: David Grann,Length: 9 hrs and 4 mins
Six of Crows,By: Leigh Bardugo,Length: 15 hrs and 4 mins
The Magic of Thinking Big,By: David Schwartz,Length: 9 hrs and 31 mins
One Second After,By: William R. Forstchen,Length: 13 hrs and 17 mins
The Girlfriend,By: K.L. Slater,Length: 8 hrs and 28 mins
The Devil in the White City,By: Erik Larson,Length: 14 hrs and 58 mins
Body of Proof,"By: Jeremiah J. Johnston, Gary Habermas - foreword",Length: 5 hrs and 10 mins
Falling Embers,By: Romeo Alexander,Length: 8 hrs and 50 mins
Archer's Voice,By: Mia Sheridan,Length: 11 hrs and 7 mins
Fahrenheit 451,By: Ray Bradbury,Length: 5 hrs and 1 min
World War Z: The Complete Edition,By: Max Brooks,Length: 12 hrs and 9 mins
Killers of the Flower Moon,By: David Grann,Length: 9 hrs and 4 mins
Six of Crows,By: Leigh Bardugo,Length: 15 hrs and 4 mins
The Magic of Thinking Big,By: David Schwartz,Length: 9 hrs and 31 mins
One Second After,By: William R. Forstchen,Length: 13 hrs and 17 mins
The Girlfriend,By: K.L. Slater,Length: 8 hrs and 28 mins
The Missing Orc,"By: Robyn Wideman, Shannon Wideman",Length: 10 hrs and 17 mins
The Serpent and the Wings of Night,By: Carissa Broadbent,Length: 14 hrs and 50 mins
Drama Free,By: Nedra Glover Tawwab,Length: 7 hrs and 36 mins
Only Bad Options,By: Jennifer Estep,Length: 12 hrs and 35 mins
"So Long, Chester Wheeler",By: Catherine Ryan Hyde,Length: 9 hrs and 11 mins
Raising Healthy Teenagers,By: Thomas Kersting,Length: 4 hrs and 58 mins
Flowers for the Devil,By: Vlad Kahany,Length: 11 hrs and 28 mins
The Power to Change,By: Craig Groeschel,Length: 5 hrs and 42 mins
Brain Energy,By: Christopher M. Palmer MD,Length: 12 hrs and 18 mins
Brain Energy,By: Christopher M. Palmer MD,Length: 12 hrs and 18 mins
The Last Party,By: Clare Mackintosh,Length: 13 hrs and 17 mins
Shadow and Bone,By: Leigh Bardugo,Length: 9 hrs and 21 mins
Principles,By: Ray Dalio,Length: 16 hrs and 5 mins
The Fine Print,By: Lauren Asher,Length: 11 hrs and 8 mins
Monroe Doctrine: Volume VI,"By: James Rosone, Miranda Watson",Length: 9 hrs and 54 mins
The Auction,By: Maggie Cole,Length: 9 hrs and 54 mins
Psycho Beasts,By: Jasmine Mas,Length: 15 hrs and 15 mins
Graves on the Fens,By: Joy Ellis,Length: 10 hrs and 50 mins
Run on Red,By: Noelle West Ihli,Length: 7 hrs and 28 mins
Murder at the Serpentine Bridge,By: Andrea Penrose,Length: 11 hrs and 58 mins
The Rise and Fall of the Third Reich,By: William L. Shirer,Length: 57 hrs and 11 mins
Lord Farleigh and Miss Frost,By: Sally Britton,Length: 6 hrs and 59 mins
Angron: The Red Angel,By: David Guymer,Length: 10 hrs and 57 mins
The Daughters of Madurai,By: Rajasree Variyar,Length: 14 hrs and 6 mins
The Sisters of Sea View,By: Julie Klassen,Length: 15 hrs and 32 mins
Tower of the Noobs,By: Ryan Rimmel,Length: 16 hrs and 40 mins
The Courage to Be Free,By: Ron DeSantis,Length: 8 hrs and 59 mins
Fae's Refuge,"By: M. Lynn, Melissa A. Craven",Length: 7 hrs and 10 mins
Vacuuming in the Nude,By: Peggy Rowe,Length: 6 hrs and 7 mins
Secret Tradecraft of Elite Advisors,By: David C. Baker,Length: 3 hrs and 5 mins
Problem Child,By: Heather Long,Length: 9 hrs and 19 mins
Dismount,By: Lucia Franco,Length: 13 hrs and 24 mins
